sentence,gt
চুপিসাড়ে শত্রুকে অনুসরণ করার ওস্তাদ।,চুপিসাড়ে শত্রুকে অনুসরণ করার ওস্তাদ।
"সমস্যা হলো, নতুন বছর শুরু না-হতেই পরবর্তী নির্বাচনের প্রস্তুতি শুরু হয়ে যাবে।","সমস্যা হলো, নতুন বছর শুরু না-হতেই পরবর্তী নির্বাচনের প্রস্তুতি শুরু হয়ে যাবে।"
রামায়ণ থেকে শকুন্তলাকে নিয়ে একেবারে নিজস্ব ভাষায় তিনি একটি নাটক লিখলেন।,রামায়ণ থেকে শকুন্তলাকে নিয়ে একেবারে নিজস্ব ভাষায় তিনি একটি নাটক লিখলেন।
এই সাপটা তোমার বন্ধু?,এই সাপটা তোমার বন্ধু?
আমাকে ওকে খতম করে দেওয়ার জন্য বলা হয়েছে।,আমাকে ওকে খতম করে দেওয়ার জন্য বলা হয়েছে।
তোমার এই ইন্দ্রিয়টা আসলেই দারুণ।,তোমার এই ইন্দ্রিয়টা আসলেই দারুণ।
আলেক্সান্ডারের মৃত্যুর পর এ্যারিস্টটলের দর্শনে পরিবর্তন লক্ষ্য করা যায়।,আলেক্সান্ডারের মৃত্যুর পর এ্যারিস্টটলের দর্শনে পরিবর্তন লক্ষ্য করা যায়।
বৃদ্ধ বসন্ত রায় চারিদিক ভাবিয়া কোনো উপায় দেখিলেন না।,বৃদ্ধ বসন্ত রায় $চারিদিক$ $ভাবিয়া$ কোনো উপায় $দেখিলেন$ না।
"বিশেষ কিছু হলো, এটুকু বলতে পারি।","বিশেষ কিছু হলো, এটুকু বলতে পারি।"
আগ বাড়িয়ে পারিবারিক ঝগড়ার কথা বলে বেড়ানোর কোনো মানে হয় না।,আগ বাড়িয়ে পারিবারিক ঝগড়ার কথা বলে বেড়ানোর কোনো মানে হয় না।
আপনি কী করছেন?,আপনি কী করছেন?
আগামী উইক জুড়েই মঙ্গলকে দেখা যাবে।,আগামী উইক জুড়েই মঙ্গলকে দেখা যাবে।
ভিক্ষা না করে রিক্সা চালিয়ে জীবিকা নির্বাহ করেছে তার জন্য তাকে পুরস্কৃত করা দরকার।,ভিক্ষা না করে রিক্সা চালিয়ে জীবিকা নির্বাহ করেছে তার জন্য তাকে পুরস্কৃত করা দরকার।
ভাগ্য আমাদের বিপক্ষে চলে যেতে পারে।,ভাগ্য আমাদের বিপক্ষে চলে যেতে পারে।
চাঁদ সওদাগরের মনসাপূজার ঢঙে তাঁরাও মোদিকে প্রচারমাধ্যমে জায়গা দিতে বাধ্য হচ্ছেন।,চাঁদ সওদাগরের মনসাপূজার ঢঙে তাঁরাও মোদিকে প্রচারমাধ্যমে জায়গা দিতে বাধ্য হচ্ছেন।
এভাবে নিয়মিত চুলে তেল লাগালে চুলের স্বাভাবিক রূপের কোনো পরিবর্তন হবে না।,এভাবে নিয়মিত চুলে তেল লাগালে চুলের স্বাভাবিক রূপের কোনো পরিবর্তন হবে না।
এরপর রোম থরোব্রেড কেনার ব্যাপারে আরও বেশি আগ্রহী হয়ে উঠেছিল।,এরপর রোম থরোব্রেড কেনার ব্যাপারে আরও বেশি আগ্রহী হয়ে উঠেছিল।
"উচ্চবর্ণেরা বাঙালীরা ত্যাগের ভাব পচ্ছন্দ করেন না, তাঁহাদের ঝোঁক ভোগের দিকে।","$উচ্চবর্ণেরা$ $বাঙালীরা$ ত্যাগের ভাব পচ্ছন্দ করেন না, $তাঁহাদের$ ঝোঁক ভোগের দিকে।"
সেখানে একটি পুরোনো গাছের ছায়ার নিচে ভূগর্ভে নাটকীয়ভাবে খোঁজ পেলেন গুপ্তধনের।,সেখানে একটি পুরোনো গাছের ছায়ার নিচে ভূগর্ভে নাটকীয়ভাবে খোঁজ পেলেন গুপ্তধনের।
"ভাইঝির একগুঁয়ে অবিবেচনায় উদ্বিগ্ন হলেন সুরেশ, কাকী হলেন অত্যন্ত অসহিষ্ণু।","ভাইঝির একগুঁয়ে অবিবেচনায় $উদ্বিগ্ন$ হলেন সুরেশ, $কাকী$ হলেন অত্যন্ত অসহিষ্ণু।"
ক্রিউ এবং নানটিচ বৃত্তাকার পথ প্যারিশটির উত্তর প্রান্ত অতিক্রম করে।,ক্রিউ এবং নানটিচ বৃত্তাকার পথ প্যারিশটির উত্তর প্রান্ত অতিক্রম করে।
আমি ছিলাম ভদ্র মানুষ।,আমি ছিলাম ভদ্র মানুষ।
সুখ দুঃখের এবং দুঃখ সুখের অনুগামী হইতেছে।,$সুখ দুঃখের$ $এবং$ $দুঃখ সুখের$ অনুগামী $হইতেছে$।
কাজের বেলায় কাজি কাজ ফুরালে পাজি।,কাজের বেলায় কাজি কাজ ফুরালে পাজি।
কিন্তু তিনি স্বাভাবিক হতে চাচ্ছেন।,কিন্তু তিনি স্বাভাবিক হতে চাচ্ছেন।
ফলে দেশবাসীর কাছে সরকারের এ ষড়যন্ত্র সুস্পষ্ট হয়ে ওঠে।,ফলে দেশবাসীর কাছে সরকারের এ ষড়যন্ত্র সুস্পষ্ট হয়ে ওঠে।
যমরাজ এর জন্য।,$যমরাজ এর$ জন্য।
"এটা বলা ঠিক না আল্লাহ চাইলে কিনা করতে পারেন,আজ এই কথা বললেন যেদিন এই পদ্মাসেতু নির্ধারিত টাইমের আগেই যদি ভেঙ্গে যায় তখন কি বলবেন , এই কথাটির ফল দেখতে পারবেন অতি শিগগিরই ","এটা বলা ঠিক না আল্লাহ চাইলে $কিনা$ করতে পারেন$,$আজ এই কথা বললেন যেদিন এই পদ্মাসেতু নির্ধারিত টাইমের আগেই যদি ভেঙ্গে যায় তখন কি বলবেন$$ $,$ এই কথাটির ফল দেখতে পারবেন অতি $শিগগিরই$$$ "
শশী অবাক হইয়া তাকায় কুন্দর দিকে।,শশী অবাক $হইয়া$ তাকায় কুন্দর দিকে।
কারন এই গনিতকে রানিং অংক বলে।,কারন এই $গনিতকে$ রানিং অংক বলে।
"তাঁদের টাকাপয়সার হিসাব, খাজনা আদায় থেকে শুরু করে বিভিন্ন ধরনের লেনদেন হতো।","তাঁদের টাকাপয়সার হিসাব, খাজনা আদায় থেকে শুরু করে বিভিন্ন ধরনের লেনদেন হতো।"
আমেরিকায় সয়াবিন শিল্পের সাথে জড়িত ৩ লক্ষ্য লোকের চাকরি এবং স্যািকা প শিল্পে জড়িত দেড় লক্ষ চাকরি।,আমেরিকায় সয়াবিন শিল্পের সাথে জড়িত ৩ লক্ষ্য লোকের চাকরি এবং$ স্যািকা প$ শিল্পে জড়িত দেড় লক্ষ চাকরি।
আফিফ: এমন ম্যাচ জিতলে নিজের মধ্যে একটা উত্তেজনা কাজ করে।,আফিফ: এমন ম্যাচ জিতলে নিজের মধ্যে একটা উত্তেজনা কাজ করে।
নিজে প্রতাপশালী রাজা হলেও তার প্রজাপ্রীতি মন এটাতে একেবারেই সায় দেয় না।,নিজে প্রতাপশালী রাজা হলেও তার প্রজাপ্রীতি মন এটাতে একেবারেই সায় দেয় না।
"স্যার, এটা ঠিক হচ্ছে না।","স্যার, এটা ঠিক হচ্ছে না।"
পেনাল্টি স্ট্রোক থেকে গোল করার কয়েক সেকেন্ডের মধ্যেই ফিল্ড গোল করেন তিনি।,পেনাল্টি স্ট্রোক থেকে গোল করার কয়েক সেকেন্ডের মধ্যেই ফিল্ড গোল করেন তিনি।
তাই এটি সংঘবদ্ধ একটি চক্রের কাজ বলে মনে করছে বাংলাদেশ ব্যাংক।,তাই এটি সংঘবদ্ধ একটি চক্রের কাজ বলে মনে করছে বাংলাদেশ ব্যাংক।
তিনি তিব্বত চলে যেতে বাধ্য হন।,তিনি তিব্বত চলে যেতে বাধ্য হন।
সন্তানের জন্মের সময় ক্রিকেটাররা স্ত্রীর পাশে থাকার জন্য সফর থেকে দেশে ফিরে যান।,সন্তানের জন্মের সময় ক্রিকেটাররা স্ত্রীর পাশে থাকার জন্য সফর থেকে দেশে ফিরে যান।
"আঙ্কেল, প্লিজ শান্ত থাকুন।","আঙ্কেল, প্লিজ শান্ত থাকুন।"
"কুসুম সঙ্গে সঙ্গে জবাব দিল, না।","কুসুম সঙ্গে সঙ্গে জবাব $দিল$, না।"
একজন ডাক্তার ডাকো!,একজন ডাক্তার ডাকো!
তবে সর্বোচ্চ সংখ্যক মতামত ছিল মাহমুদ টার্গেট করেই।,তবে সর্বোচ্চ সংখ্যক মতামত ছিল মাহমুদ টার্গেট করেই।
তোমার বাবা-মা বীরের মতো মৃত্যুবরণ করেছে।,তোমার বাবা-মা বীরের মতো মৃত্যুবরণ করেছে।
"মহিলাটি বড়, কিন্তু তারা ওকে সেটা কখনই বলবে না।","মহিলাটি $বড়$, কিন্তু তারা ওকে সেটা $কখনই$ বলবে না।"
অভিভাবকহীন এতো বড় একটা দাতব্য ফান্ড।,অভিভাবকহীন $এতো$ $বড়$ একটা দাতব্য ফান্ড।
আপনি কি রুম সার্ভিস থেকে বলছেন?,আপনি কি রুম সার্ভিস থেকে বলছেন?
তবু শশী শেষবেলায় চিৎপুরে একটা বাড়ির দোতলায় অধিকারীর সঙ্গে দেখা করিল।,তবু শশী শেষবেলায় চিৎপুরে একটা বাড়ির দোতলায় অধিকারীর সঙ্গে দেখা $করিল$।
"এটা নাও, আর ওর মুখটা কল্পনা করো।","এটা নাও, আর ওর মুখটা কল্পনা করো।"
গোলাপে গেনারিয়ল নামে একটি অ্যারোম্যাটিক অ্যালকোহল জাতীয় পদার্থ পাওয়া যায়।,গোলাপে গেনারিয়ল নামে একটি অ্যারোম্যাটিক অ্যালকো$হল$ জাতীয় পদার্থ পাওয়া যায়।
"চট্টগ্রাম শুধু পর্তুগিজ বাণিজ্য কেন্দ্রই ছিল না, উপরন্তু এটি ছিল পর্তুগিজ জলদস্যুদের লুণ্ঠনকেন্দ্র।","চট্টগ্রাম শুধু পর্তুগিজ $বাণিজ্য কেন্দ্রই$ ছিল না, উপরন্তু এটি ছিল পর্তুগিজ জলদস্যুদের লুণ্ঠনকেন্দ্র।"
জানোয়ার টা পরকাল বিশ্বাস করেনা বিচার দিলো কার কাছে,$জানোয়ার টা$ পরকাল বিশ্বাস $করেনা$ বিচার দিলো কার কাছে$$
বৈকালে কতকগুলি প্রজা প্রধান কর্মচারীদের নিকট কী একটা নিবেদন করিবার জন্য আসিয়াছিল।,$বৈকালে$ $কতকগুলি$ প্রজা প্রধান কর্মচারীদের নিকট কী একটা নিবেদন $করিবার$ জন্য $আসিয়াছিল$।
চাইলে গুগল করে দেখে নিতে পারেন ক্যামনতর অসুখ এটা।,চাইলে গুগল করে দেখে নিতে পারেন $ক্যামনতর$ অসুখ এটা।
নাহয় একেকটার এমন হাল করব সাত জন্ম বসে বসে পস্তাবে।,নাহয় $একেকটার$ এমন হাল করব$$ সাত জন্ম বসে বসে পস্তাবে।
চীনের সরকারি মহাকাশ কর্মসূচির আওতায় আগেও দুটি অনুসন্ধানী নভোযান চাঁদে পাঠানো হয়েছিল।,চীনের সরকারি মহাকাশ কর্মসূচির আওতায় আগেও দুটি অনুসন্ধানী নভোযান চাঁদে পাঠানো হয়েছিল।
বাড়িতে বৈকালের ছায়া পড়িয়া আসিয়াছে।,বাড়িতে $বৈকালের$ ছায়া $পড়িয়া$ $আসিয়াছে$।
সে এক বছর বয়সী একটা জার্মান শেফার্ডকে প্রশিক্ষণ দিচ্ছে।,সে এক বছর বয়সী একটা জার্মান শেফার্ডকে প্রশিক্ষণ দিচ্ছে।
দুঃখের রাজমুকুট মাথায় পরিয়া সুখ মানুষের সামনে হাজির হয়।,দুঃখের রাজমুকুট মাথায় $পরিয়া$ সুখ মানুষের সামনে হাজির হয়।
২৭ বছর জব করে ৫৭ বছর বয়সে রিটায়ার করলেন।,২৭ বছর জব করে ৫৭ বছর বয়সে রিটায়ার করলেন।
"উপরের তলায় যাওয়ার জন্য দক্ষিণপূর্ব কোণে একটি কাঠের সিঁড়ি আছে, এছাড়া পিছনদিকেও আছে একটি।","উপরের তলায় যাওয়ার জন্য দক্ষিণপূর্ব কোণে একটি কাঠের সিঁড়ি আছে, এছাড়া $পিছনদিকেও$ আছে একটি।"
কপিড ক্যাসেভেকের জন্য সাত মিনিটের মধ্যেই চপার উড়বে।,কপিড ক্যাসেভেকের জন্য সাত মিনিটের মধ্যেই চপার উড়বে।
নিজেকে একটি তড়িৎ-উৎপাদক যন্ত্র করিয়া তুলিতে হইবে।,নিজেকে একটি তড়িৎ-উৎপাদক যন্ত্র $করিয়া$ $তুলিতে$ $হইবে$।
যুদ্ধের সময় রাতের বেলা বিদ্যুৎ না থাকার কারণে এই ভুল ধারণা হয়েছিল।,যুদ্ধের সময় রাতের বেলা বিদ্যুৎ না থাকার কারণে এই ভুল ধারণা হয়েছিল।
কিন্তু তখনও তিনি গণতান্ত্রিক বা নির্বাচিত উপায়ে কেবিনেট সদস্য ছিলেন না।,কিন্তু তখনও তিনি গণতান্ত্রিক বা নির্বাচিত উপায়ে কেবিনেট সদস্য ছিলেন না।
"ওহ, এইস, আমি দুঃখিত।","$ওহ$, এইস, আমি দুঃখিত$।$"
এই এলাকাটি ক্যাডাস্ট্রাল সার্ভেতে জেমিসনের বিশেষ জরিপ নামে পরিচিত।,এই এলাকাটি ক্যাডাস্ট্রাল সার্ভেতে জেমিসনের বিশেষ জরিপ নামে পরিচিত।
অথচ অসুস্থ হয়ে পড়লে স্পেশাল কেয়ারের  দায়িত্ব যাদের উপর সেই বিদ্যালয় কর্তৃপক্ষ সামান্য কিছু ঔষধ বা প্রাথমিক চিকিৎসার ব্যবস্থা রেখে জাহির করে যেন নিজস্ব ভবনের মধ্যে বাচ্চাদেরকে তারা ফাইভ স্টার নার্সিংহোমের পরিষেবা দিয়ে থাকে।,অথচ অসুস্থ হয়ে পড়লে স্পেশাল কেয়ারের  দায়িত্ব যাদের উপর সেই বিদ্যালয় কর্তৃপক্ষ সামান্য কিছু ঔষধ বা প্রাথমিক চিকিৎসার ব্যবস্থা রেখে জাহির করে যেন নিজস্ব ভবনের মধ্যে বাচ্চাদেরকে তারা ফাইভ স্টার নার্সিংহোমের পরিষেবা দিয়ে থাকে।
এই ডেনেরিটা ফিনল্যান্ডের উত্তর অংশে।,এই ডেনেরিটা ফিনল্যান্ডের উত্তর অংশে।
টবিহান্না স্টেট পার্ক কুলবাগ টাউনশিপে অবস্থিত।,টবিহান্না স্টেট পার্ক কুলবাগ টাউনশিপে অবস্থিত।
অথচ একই ডিজাইনের পাঞ্জাবি চট্টগ্রাম থেকে কেনা হয়েছে আড়াই হাজার টাকায়।,অথচ একই ডিজাইনের পাঞ্জাবি চট্টগ্রাম থেকে কেনা হয়েছে আড়াই হাজার টাকায়।
ও ঠিক বলছে।,ও ঠিক বলছে।
দুর্ঘটনার কারণ নিয়ে অনেক বিতর্ক আছে।,দুর্ঘটনার কারণ নিয়ে অনেক বিতর্ক আছে।
"ভগবানই আমাদের লক্ষ্য, তাঁর কাছে যেতে না পারলে আমাদের বিনাশ।","ভগবানই আমাদের লক্ষ্য, তাঁর কাছে যেতে না পারলে আমাদের বিনাশ।"
ঠগিরা তাদের দেবীকে বাংলায় ভবানী নামে ডাকত।,ঠগিরা তাদের দেবীকে বাংলায় ভবানী নামে ডাকত।
"কথা শোনো, টিমে চলে এসো।","কথা শোনো, টিমে চলে এসো।"
আমার মেয়েটাকে নির্দয়ভাবে বলৎকার করে মেরে ফেলা হয়েছিল।,আমার মেয়েটাকে নির্দয়ভাবে $বলৎকার$ করে মেরে ফেলা হয়েছিল।
গানের তালে তালে মাইকেলের নাচের কৌশলগুলোও ব্যাপক জনপ্রিয়তা লাভ করে।,গানের তালে তালে মাইকেলের নাচের কৌশলগুলোও ব্যাপক জনপ্রিয়তা লাভ করে।
আবারো বলব ব্লগে জায়গা করার সবচেয়ে কার্যকরী পন্থা হচ্ছে ব্লগে সময় দেওয়া।,$আবারো$ বলব ব্লগে জায়গা করার সবচেয়ে কার্যকরী পন্থা হচ্ছে ব্লগে সময় দেওয়া।
"তাতে বিশ্ব দেউলে হবে না, এমন-কি তুমিও দেউলে হবে না।","তাতে বিশ্ব $দেউলে$ হবে না, $এমন-কি$ তুমিও $দেউলে$ হবে না।"
"সেটি ছিল তেমন একটি দ্রুতগামী ট্রেন, যার একটিই মাত্র গন্তব্য ছিল।","সেটি ছিল তেমন একটি দ্রুতগামী ট্রেন, যার একটিই মাত্র গন্তব্য ছিল।"
আশ্বিন মাসে একবার জলবৃদ্ধি– প্রতাপাদিত্য।,আশ্বিন মাসে একবার জলবৃদ্ধি– প্রতাপাদিত্য।
"সোয়াকার্পেট থেকে অন্য এলাকায় ফরোয়ার্ড করেছে, স্যার।","সোয়াকার্পেট থেকে অন্য এলাকায় ফরোয়ার্ড করেছে, স্যার।"
তাই নিয়মানুযায়ী সীমিত আকারে দরপত্র আহ্বান করা হয়েছিল।,তাই নিয়মানুযায়ী সীমিত আকারে দরপত্র আহ্বান করা হয়েছিল।
"শীতলবাবু সঙ্গে আলো দিতে চাহিয়াছিলেন, পকেটে টর্চ আছে বলিয়া শশী বারণ করিয়া আসিয়াছে।","শীতলবাবু সঙ্গে আলো দিতে $চাহিয়াছিলেন$, পকেটে টর্চ আছে $বলিয়া$ শশী বারণ $করিয়া$ $আসিয়াছে$।"
তোমার পরিচয় কি?,তোমার পরিচয় $কি$?
ফলে তার প্যারোলে বাতিল করা হয়।,ফলে তার $প্যারোলে$ বাতিল করা হয়।
আর ওখানে সিকিউরিটি বিকন আছে কি?,আর ওখানে সিকিউরিটি বিকন আছে কি?
জাহাজে পৌছে সকলে যেন অকারণ উচ্ছলতা আর আনন্দে মেতে উঠেছিলো।,জাহাজে পৌছে সকলে যেন অকারণ উচ্ছলতা আর আনন্দে মেতে উঠেছিলো।
এই উত্থানের নাম বৌদ্ধ সংস্কার।,এই উত্থানের নাম বৌদ্ধ সংস্কার।
তিনি দিল্লি দরবারের একজন কেন্দ্রীয় ব্যক্তি হয়ে উঠেন।,তিনি দিল্লি দরবারের $একজন$ কেন্দ্রীয় ব্যক্তি হয়ে উঠেন।
রাজন ভেবেছিলেন স্বামীর ব্যক্তিগত আক্রমণের হাত থেকে সরকার তাঁকে রক্ষা করবে।,রাজন ভেবেছিলেন$$ স্বামীর ব্যক্তিগত আক্রমণের হাত থেকে সরকার তাঁকে রক্ষা করবে।
প্রথমে মোচা ভালো করে সেদ্ধ করে নিন।,প্রথমে মোচা ভালো করে সেদ্ধ করে নিন।
"সামনে বইমেলা, প্রকাশকেরা যোগাযোগ করছেন, আমার দিক থেকে কোনো সাড়া নেই।","সামনে বইমেলা, প্রকাশকেরা যোগাযোগ করছেন, আমার দিক থেকে কোনো সাড়া নেই।"
নিরুপমা ক্যালিফোর্নিয়ার বে এরিয়াতে একটি টেনিস কোচিং ক্যাম্প পরিচালনা করেন।,নিরুপমা ক্যালিফোর্নিয়ার বে এরিয়াতে একটি টেনিস কোচিং ক্যাম্প পরিচালনা করেন।
শহরকে আত্মসমর্পণ করতে হবে অথবা মরতে হবে।,শহরকে আত্মসমর্পণ করতে হবে অথবা মরতে হবে।
আমি কি স্যার আপনার বাসায় যেতে পারি?,আমি কি স্যার আপনার বাসায় যেতে পারি?
তবে কনে খুব সম্ভবত আমার চিৎকার শুনে একটু অস্বস্তিতে পড়ে গিয়েছিল।,তবে কনে খুব সম্ভবত আমার চিৎকার শুনে একটু অস্বস্তিতে পড়ে গিয়েছিল।
তাঁদের পরিবেশিত নোয়াখালীর আঞ্চলিক ভাষার কৌতুক শুনে হাসির ফোয়ারা ছোটে মিলনায়তনজুড়ে।,তাঁদের পরিবেশিত নোয়াখালীর আঞ্চলিক ভাষার কৌতুক শুনে হাসির ফোয়ারা ছোটে মিলনায়তনজুড়ে।
তিনি সাবেক মিডিয়া ব্যারন কনরাড ব্ল্যাকের স্ত্রী।,তিনি সাবেক মিডিয়া ব্যারন কনরাড ব্ল্যাকের স্ত্রী।
তাহলে আমার বোনের ছবি আপনার ফোনে কিভাবে আসল?,$তাহলে$ আমার বোনের ছবি আপনার ফোনে $কিভাবে$ $আসল$?
মানবাধিকারের বিষয়গুলো আন্তর্জাতিক এবং বিশ্বের বেশির ভাগ দেশ এসব মেনে চলতে অঙ্গীকারবদ্ধ।,মানবাধিকারের বিষয়গুলো আন্তর্জাতিক এবং বিশ্বের বেশির ভাগ দেশ এসব মেনে চলতে অঙ্গীকারবদ্ধ।
মিলানের হয়ে মাঝে মধ্যেই পুরোনো ঝলক দেখা গেলেও দুটো শত্রু ছিল ছায়াসঙ্গী হয়ে।,মিলানের হয়ে $মাঝে মধ্যেই$ পুরোনো ঝলক দেখা গেলেও দুটো শত্রু ছিল ছায়াসঙ্গী হয়ে।
বাসা থেকে বের হলাম আটটায়।,বাসা থেকে বের হলাম আটটায়।
"কিন্তু এটা এখন জানি বুঝি, তখন?","কিন্তু এটা এখন জানি $$বুঝি, তখন?"
এতে করে ভবিষ্যতে আমাদের উপর কি ধরণের ইমপ্যাক্ট পড়বে সেটাও অনিশ্চিত।,এতে করে ভবিষ্যতে আমাদের উপর কি ধরণের ইমপ্যাক্ট পড়বে সেটাও অনিশ্চিত।
ইসাবেল পূর্বে ইংল্যান্ডের রাজা প্রথম হেনরির উপপত্নী ছিলেন।,ইসাবেল পূর্বে ইংল্যান্ডের রাজা প্রথম হেনরির উপপত্নী ছিলেন।
এখানে এসে আমি যেন নবজীবন লাভ করেছি।,এখানে এসে আমি যেন নবজীবন লাভ করেছি।
ওদের হাত ধরে আমার সাথে এসো।,ওদের হাত ধরে আমার সাথে এসো।
ধর্মঘটে কার্যত রাজধানী ঢাকার সঙ্গে দেশের অন্য শহরগুলোর যোগাযোগ বিচ্ছিন্ন রয়েছে।,ধর্মঘটে$$ $কার্যত$ রাজধানী ঢাকার সঙ্গে দেশের অন্য শহরগুলোর যোগাযোগ বিচ্ছিন্ন রয়েছে।
"ভালো যেন বুঝতে পারলেন না, রুদ্ধকণ্ঠে জিজ্ঞাসা করলেন, কোথায় গেছেন।","ভালো যেন বুঝতে পারলেন না, রুদ্ধকণ্ঠে জিজ্ঞাসা করলেন, কোথায় গেছেন$।"
কোথায় লুকিয়ে রেখেছ?,কোথায় লুকিয়ে রেখেছ?
তুই কি আগের ঘটনা ভুলে গেছিস?,তুই কি আগের ঘটনা ভুলে গেছিস?
আজকে খুব বেশি মাকে নিয়ে লিখতে ইচ্ছে করছে তাই সেই সাহসটা করেই ফেললাম।,আজকে খুব বেশি মাকে নিয়ে লিখতে ইচ্ছে করছে তাই সেই সাহসটা করেই ফেললাম।
"আনন্দময়ী কহিলেন, কপটতা না করে থাকবার সাহস নেই?","আনন্দময়ী $কহিলেন$, কপটতা না করে $থাকবার$ সাহস নেই?"
"ডুগডুগি ঃ মাষ্টার সাব, তার আগে আমার দুইখান কথা আছে।","$ডুগডুগি ঃ$ $মাষ্টার$ $সাব$, তার আগে আমার $দুইখান$ কথা আছে।"
বায়ুথলি পাতলা আবরণ দিয়ে আবৃত কৈমিকনালিকা দিয়ে পরিবেষ্টিত।,বায়ুথলি পাতলা আবরণ দিয়ে আবৃত কৈমিকনালিকা দিয়ে পরিবেষ্টিত।
বার নিজস্ব অপারেটিং সিস্টেম টাইজেননির্ভর স্মার্টফোন বাজারে এনে চমক দিতে যাচ্ছে স্যামসাং।,বার নিজস্ব অপারেটিং সিস্টেম টাইজেননির্ভর স্মার্টফোন বাজারে এনে চমক দিতে যাচ্ছে স্যামসাং।
হাবলু কুমুকে আঁকড়ে ধরে রইল।,হাবলু কুমুকে আঁকড়ে ধরে $রইল$।
তিনি অনেক কাজ করেন।,তিনি অনেক কাজ করেন।
অস্ট্রেলিয়ান বোলারদের রোহিত পাল্টা আক্রমণ করলেও অন্যপ্রান্তে ধোনি ছিলেন বেশ সর্তক।,অস্ট্রেলিয়ান বোলারদের রোহিত পাল্টা আক্রমণ করলেও অন্যপ্রান্তে ধোনি ছিলেন বেশ $সর্তক$।
"তিনি লিখেন ""উকিলের মনচোর"" নামক একটি গান।","তিনি লিখেন ""উকিলের মনচোর"" নামক একটি গান।"
"ভি-ওয়ান, এবং ঘোরানো।","ভি-ওয়ান$,$ এবং ঘোরানো।"
সে ধাক্কা কাটিয়ে উঠতে বেশ ধকল পোহাতে হয় বাংলাদেশকে।,সে ধাক্কা কাটিয়ে উঠতে বেশ ধকল পোহাতে হয় বাংলাদেশকে।
দেখিয়ে দেব কী করতে পারি।,দেখিয়ে দেব কী করতে পারি।
তাদের প্রথম দিকের কিছু হিট জনপ্রিয়ভাবে পেরেস্ত্রোইকা যুগের সাথে সম্পর্কিত।,তাদের প্রথম দিকের কিছু হিট জনপ্রিয়ভাবে পেরেস্ত্রোইকা যুগের সাথে সম্পর্কিত।
"তার মানে, ব্যাংকে টাকা রেখে প্রকৃত অর্থে কোনো মুনাফা পাওয়া যাচ্ছে না।","তার মানে, ব্যাংকে টাকা রেখে প্রকৃত অর্থে $কোনো$ মুনাফা পাওয়া যাচ্ছে না।"
"তবে এইসব ঝাকামুটের সাথে উট, কার্ড এইসব আলাপ করা ঠিক হইতেছে কিনা বুঝতে পারতেছি না।","তবে এইসব $ঝাকামুটের$ সাথে উট, কার্ড এইসব আলাপ করা ঠিক $হইতেছে$ কিনা বুঝতে $পারতেছি$ না।"
এটি একটি ক্ষীণ সাদা চোখ রিং এবং একটি ক্ষীণ ডানা বার আছে।,$এটি$ একটি ক্ষীণ সাদা চোখ রিং এবং একটি ক্ষীণ ডানা বার আছে।
