sentence,gt
"ভারতে অব্যাহত মুসলমান নির্যাতন, সংখ্যালঘু বিরোধী সাম্প্রদায়িক দাঙ্গা থেকে জনগণের দৃষ্টি অন্যদিকে ফিরিয়ে দেয়ার জন্য মূলত ‘র’ এই পথে অগ্রসর হয়।","ভারতে অব্যাহত মুসলমান নির্যাতন, সংখ্যালঘু বিরোধী সাম্প্রদায়িক দাঙ্গা থেকে জনগণের দৃষ্টি অন্যদিকে ফিরিয়ে দেয়ার জন্য মূলত ‘র’ এই পথে অগ্রসর হয়।"
নির্বাচনকালীন আইনশৃঙ্খলা বাহিনী নির্বাচন কমিশনের অধীনে থাকে এবং তারা সহায়তা করছে।,নির্বাচনকালীন আইনশৃঙ্খলা বাহিনী নির্বাচন কমিশনের অধীনে থাকে এবং তারা সহায়তা করছে।
"মূল ছাপাখানাটি ফোলিঙ্গোর ""ওরেটরিও ডেলা নুনজিয়াটেলা""তে প্রদর্শিত হয়।","মূল ছাপাখানাটি ফোলিঙ্গোর ""ওরেটরিও ডেলা নুনজিয়াটেলা""তে প্রদর্শিত হয়।"
খালেদা নিরপেক্ষ সরকারের অধীনে অনুষ্ঠিত নির্বাচনের মাধ্যমে ক্ষমতা পেয়ে এর প্রয়োজন অস্বীকার করেছেন।,খালেদা নিরপেক্ষ সরকারের অধীনে অনুষ্ঠিত নির্বাচনের মাধ্যমে ক্ষমতা পেয়ে এর প্রয়োজন অস্বীকার করেছেন।
তানজিলা রংপুরের পীরগঞ্জ উপজেলার দুরামিথিপুর সরকারি প্রাথমিক বিদ্যালয়ের প্রথম শ্রেণির ছাত্রী ছিল।,তানজিলা রংপুরের পীরগঞ্জ উপজেলার দুরামিথিপুর সরকারি প্রাথমিক বিদ্যালয়ের প্রথম শ্রেণির ছাত্রী ছিল।
"প্রিয়তম খেলোয়াড়দের হারানোর শঙ্কায় মাশরাফি কেঁদে ফেললেন সংবাদ সম্মেলনের পর, জানা গেল।","প্রিয়তম খেলোয়াড়দের হারানোর শঙ্কায় মাশরাফি কেঁদে ফেললেন সংবাদ সম্মেলনের পর, জানা গেল।"
বাবার কাছে কোন সমস্যাই কোন সমস্যা নয়।,বাবার কাছে $কোন$ সমস্যাই $কোন$ সমস্যা নয়।
তাতে তফাৎ কোথায়?,তাতে তফাৎ কোথায়?
তিনি ৪ জুলাই মা দিবস পালনের প্রস্তাব রাখেন।,তিনি ৪ জুলাই মা দিবস পালনের প্রস্তাব রাখেন।
"বন্ধুরা মনে করলো, একা থাকলে সে আরও ভালো থাকবে।","বন্ধুরা মনে $করলো$, একা থাকলে সে আরও ভালো থাকবে।"
"এখানে না, তদন্তের জন্য উনাকে দরকার।","এখানে না, তদন্তের জন্য $উনাকে$ দরকার।"
সেইরূপ অন্তর হইতে অন্তরতম এই বিরাট আত্মার বিষয় সহজে বোধগম্য হয় না।,$সেইরূপ$ অন্তর $হইতে$ অন্তরতম এই বিরাট আত্মার বিষয় সহজে বোধগম্য হয় না।
"প্রিয়বড়েষু,বড়রা যে বড়ই হয়, আপনারা আবার তার প্রমাণ দেখালেন আজ।","$প্রিয়বড়েষু$,$$বড়রা যে বড়ই হয়, আপনারা আবার তার প্রমাণ দেখালেন আজ।"
"অবস্থা এমনই দাঁড়িয়েছিল যে, একসময় মানুষ নায়কের পরিবর্তে তাকে দেখার জন্যই প্রেক্ষাগৃহে যেতো।","অবস্থা এমনই দাঁড়িয়েছিল যে, একসময় মানুষ নায়কের পরিবর্তে তাকে দেখার জন্যই প্রেক্ষাগৃহে $যেতো$।"
বাচ্চাদের সাথে কথা বললাম আজ।,বাচ্চাদের সাথে কথা বললাম আজ।
"আইয়ু এহন আল্লাহর নাম নিয়ে বিচার চান, আন্মে তো আবার অদেখা কিছু বিশ্বাস করেন না।","$আইয়ু$ $এহন$ আল্লাহর নাম নিয়ে বিচার চান, $আন্মে$ তো আবার অদেখা কিছু বিশ্বাস করেন না।"
আপনি ঠিক ধরেছিলেন।,আপনি ঠিক ধরেছিলেন।
চিরুনিটা আমার খুব প্রিয় ছিল।,চিরুনিটা আমার খুব প্রিয় ছিল।
এর মধ্যেই একলোক ঘ্যান ঘ্যান শুরু করেছে।,এর মধ্যেই একলোক ঘ্যান ঘ্যান শুরু করেছে।
সুবোধচন্দ্র কলকাতা বিশ্ববিদ্যালয়ের সিনেটেরও সদস্য ছিলেন।,সুবোধচন্দ্র কলকাতা বিশ্ববিদ্যালয়ের সিনেটেরও সদস্য ছিলেন।
ঢাকায় বেড়ে ওঠা রুবাব খানের গ্রামের বাড়ি নারায়ণগঞ্জ জেলার সোনারগাঁয়ের পাকুন্দা গ্রামে।,ঢাকায় বেড়ে ওঠা রুবাব খানের গ্রামের বাড়ি নারায়ণগঞ্জ জেলার সোনারগাঁয়ের পাকুন্দা গ্রামে।
"মনে হলো একটা পাপ হয়েছে, কিছু না জেনে বুঝেও সেই পাপের অংশ হয়ে গিয়েছি আমি, আমরা!","মনে হলো একটা পাপ হয়েছে, কিছু না জেনে বুঝেও সেই পাপের অংশ হয়ে গিয়েছি আমি, আমরা!"
জাতীয়তাবিরোধী' ব্যক্তিদের মামলা হাতে নেওয়ার জন্য শাহিদকে তার অফিসেই গুলি করে মেরেছে অজ্ঞাতপরিচয় আততায়ীরা।,জাতীয়তাবিরোধী$'$ ব্যক্তিদের মামলা হাতে নেওয়ার জন্য শাহিদকে তার অফিসেই গুলি করে মেরেছে অজ্ঞাতপরিচয় আততায়ীরা।
সেতুগুলির সাথে একাধিক বাসের অংশগুলি অনুমতি দেওয়া হয়।,$সেতুগুলির$ সাথে একাধিক বাসের $অংশগুলি$ অনুমতি দেওয়া হয়।
"২০১৪ থেকে বিয়ে করবো, সেই কথা আম্মাকে বলে দিলাম।","২০১৪ থেকে বিয়ে $করবো$, সেই কথা আম্মাকে বলে দিলাম।"
কেন তিনি শ্যামাপ্রসাদ মুখার্জির সাথে মিলে মন্ত্রীসভা গঠন করেছেন?,কেন তিনি শ্যামাপ্রসাদ মুখার্জির সাথে মিলে মন্ত্রীসভা গঠন করেছেন?
"ভারত একটি দেশ নয়, মহাদেশ।","ভারত একটি দেশ নয়, মহাদেশ।"
রাসুসহ গালিবের বন্ধুরা তখনও গালিবের পাশে দাঁড়িয়ে।,রাসুসহ গালিবের বন্ধুরা তখনও গালিবের পাশে দাঁড়িয়ে।
আমার বালির কাজ ঠিক আগেকারটির মতো হতে হবে।,আমার বালির কাজ ঠিক আগেকারটির মতো হতে হবে।
"এই বেকার পাইলটের প্রয়োজন না এয়ারফোর্স এর আছে, না আমার ইউনিটের।","এই বেকার পাইলটের প্রয়োজন না এয়ারফোর্স এর আছে, না আমার ইউনিটের।"
"কারন, আমাদের বিশ্বাস অনুযায়ী, একবার মালাকুল মৌত যদি রূহ নিতে আসেন, মাঝ পথে ফেরত যাবার নিয়ম নেই।","কারন, আমাদের বিশ্বাস অনুযায়ী, একবার মালাকুল মৌত যদি রূহ নিতে আসেন, মাঝ পথে ফেরত যাবার নিয়ম নেই।"
তারা আগামী বছর আরো বেশি বিল্ড-ইন এবং কাউন্টারটপ যন্ত্রপাতি যোগ করার পরিকল্পনা করছে।,তারা আগামী বছর $আরো$ বেশি বিল্ড-ইন $এবং$ কাউন্টারটপ যন্ত্রপাতি যোগ করার পরিকল্পনা করছে।
এমনকি দুধের অভাবে হাড়ের গঠন দুর্বল হয়ে হাড় ভঙ্গুর হতে পারে।,এমনকি দুধের অভাবে হাড়ের গঠন দুর্বল হয়ে হাড় ভঙ্গুর হতে পারে।
সেখানে আপনার কাছে কিছু তথ্য জানতে চাওয়া হবে।,সেখানে আপনার কাছে কিছু তথ্য জানতে চাওয়া হবে।
"কিন্তু আপনার সঙ্গে পরিচিত হইয়া দেখিতেছি, আপনার রামকৃষ্ণগত প্রাণ।","কিন্তু আপনার সঙ্গে পরিচিত $হইয়া$ $দেখিতেছি$, আপনার রামকৃষ্ণগত প্রাণ।"
এই কর্মসূচিটি দরিদ্রদের ক্ষুদ্র ঋণ বিতরণের উপর দৃষ্টি নিবদ্ধ করে।,এই কর্মসূচিটি দরিদ্রদের ক্ষুদ্র ঋণ বিতরণের $উপর$ দৃষ্টি নিবদ্ধ করে।
এই সিস্টেমগুলি ভিডিও গেম কনসোল নামেও পরিচিত ছিল।,এই সিস্টেমগুলি ভিডিও গেম কনসোল নামেও পরিচিত ছিল।
"আলাপ হলো সুতপা ভট্টাচার্য্য, যিনি থাকতেন রতনকুঠির অন্যধারে, স্কলার্স ব্লকে, পাঠভবনের শিক্ষক।","আলাপ হলো সুতপা $ভট্টাচার্য্য$, যিনি থাকতেন রতনকুঠির অন্যধারে, স্কলার্স ব্লকে, পাঠভবনের শিক্ষক।"
আমাদের নতুন স্টুডেন্টদের গাইতে হয়।,আমাদের নতুন স্টুডেন্টদের গাইতে হয়।
"সামছুল আরেফিন কেবল একজন মুক্তিযোদ্ধাই নন, মুক্তিযুদ্ধ নিয়ে গবেষণায় তাঁর অবদান অসামান্য।","সামছুল আরেফিন কেবল একজন মুক্তিযোদ্ধাই নন, মুক্তিযুদ্ধ নিয়ে গবেষণায় তাঁর অবদান অসামান্য।"
তুই একটু গ্রামটা ঘুরে দেখ না?,তুই একটু গ্রামটা ঘুরে দেখ না?
গানের সাথে সাথে কিছু এক্সট্রা ইনকামও হতো!,গানের সাথে সাথে কিছু এক্সট্রা ইনকামও হতো!
কেননা সে জানে ওকে অল্প একটু প্রশ্রয় দিলেই ও আর মর্যাদা রাখতে পারে না।,কেননা সে জানে ওকে অল্প একটু প্রশ্রয় দিলেই ও আর মর্যাদা রাখতে পারে না।
সবুজ হাফ স্লীভ শার্ট আর ব্লু জিন্স প্যান্টে ভাইয়া কে যা লাগছে না!,সবুজ হাফ স্লীভ শার্ট আর $ব্লু$ জিন্স প্যান্টে $ভাইয়া কে$ যা লাগছে না!
বর্তমান নাম হিলসবোরো ইতালীয় নাম মন্টিসেলোর ইংরেজি প্রতিশব্দ।,বর্তমান নাম হিলসবোরো ইতালীয় নাম মন্টিসেলোর ইংরেজি প্রতিশব্দ।
"পরদিন সকালে তিনি ইরশাদ করলেন, 'আমি তোমাদের ওপর তারাবি নামাজ ফরজ হয়ে যাওয়ার আশঙ্কা করেছি।","পরদিন সকালে তিনি ইরশাদ করলেন, 'আমি তোমাদের ওপর তারাবি নামাজ ফরজ হয়ে যাওয়ার আশঙ্কা করেছি।$$"
তাকে নির্বাহী ম্যাজিস্ট্রেট এনামুল করিম আটক করে ভ্রাম্যমাণ আদালতে সোপর্দ করেন।,তাকে নির্বাহী ম্যাজিস্ট্রেট এনামুল করিম আটক করে ভ্রাম্যমাণ আদালতে সোপর্দ করেন।
কেউ কেউ এটাকে অকেজো বলে মনে করেছিল আর এর ভোটের সংখ্যা দ্রুত কমে গিয়েছিল।,কেউ কেউ এটাকে অকেজো বলে মনে করেছিল আর এর ভোটের সংখ্যা দ্রুত কমে গিয়েছিল।
এই মন্ত্রযুক্ত চরণ-বন্ধনীটা দিশা বাতলে দেবে।,এই মন্ত্রযুক্ত চরণ-বন্ধনীটা দিশা বাতলে দেবে।
বরং অনেকে ফ্রি বই পাওয়ার লোভে বইমেলায় ভিড় করছে।,বরং অনেকে ফ্রি বই পাওয়ার লোভে বইমেলায় ভিড় করছে।
তার পরিবার সাও থোমে থেকে এসেছে।,তার পরিবার সাও থোমে থেকে এসেছে।
যুবক বয়সের স্মৃতি যেন সবকিছু এলোমেলো করে দিল।,যুবক বয়সের স্মৃতি যেন সবকিছু এলোমেলো করে $দিল$।
একদা জুতো চুরি হবার কারণে তিনি জুতোজোড়া কাগজে মুড়ে বগলদাবা করে আসরে ঢুকতেন।,একদা জুতো চুরি হবার কারণে তিনি জুতোজোড়া কাগজে মুড়ে বগলদাবা করে আসরে ঢুকতেন।
তখন বাংলা ভাষায় একটা বিশাল ডেটাসেট তৈরি হয়ে যাবে।,তখন বাংলা ভাষায় একটা বিশাল ডেটাসেট তৈরি হয়ে যাবে।
"আমি সীমালঙ্ঘন করেছি, জানি।","আমি সীমালঙ্ঘন করেছি, জানি।"
তাহলে তারা যুদ্ধের জন্য অস্ত্রসামগ্রী সংগ্রহ করবে।,তাহলে তারা যুদ্ধের জন্য অস্ত্রসামগ্রী সংগ্রহ করবে।
"♣চেয়ারটাই আসল কথা, ধর্ম বেঁচে, মুক্তিযুদ্ধ বেঁচে, বঙ্গবন্ধু বেঁচে, এখন শেখ হাসিনা বেঁচে —যে সময় যা বেঁচা লাগে।","$♣$চেয়ারটাই আসল কথা$,$ ধর্ম $বেঁচে$, মুক্তিযুদ্ধ $বেঁচে$, বঙ্গবন্ধু $বেঁচে$, এখন শেখ হাসিনা $বেঁচে$ $—যে$ সময় যা $বেঁচা$ লাগে।"
"তিনি বিশ্বাস করতেন: মানুষ শারীরিক, মানসিক ও আত্মিক এ তিন প্রকার ব্যাধিতে আক্রান্ত হয়।","তিনি বিশ্বাস করতেন: মানুষ শারীরিক$,$ মানসিক ও আত্মিক$$ এ তিন প্রকার $ব্যাধিতে$ আক্রান্ত হয়।"
এটা সবার জন্য নির্ধারিত ইমার্জেন্সি শেলটার।,এটা সবার জন্য নির্ধারিত ইমার্জেন্সি শেলটার।
"সে আমাকে আর সোমাকে একাকী কথা বলার, একটু ভালোবাসা বিনিময় করার সুযোগ করে দেয়।","সে আমাকে আর সোমাকে একাকী কথা বলার, একটু ভালোবাসা বিনিময় করার সুযোগ করে দেয়।"
"আলফা ওয়ান, ক্লিয়ার।","আলফা ওয়ান, ক্লিয়ার।"
বলতে পারো আমার মতো ছেলেদের কাছে তুমি স্বপ্ন।,বলতে পারো আমার মতো ছেলেদের কাছে তুমি স্বপ্ন।
"তিনি আবার বললেন হাঁ, হাঁ, তোমরা পাশ্চাত্যেরা কাজ চাও।","তিনি আবার বললেন হাঁ, হাঁ, তোমরা পাশ্চাত্যেরা কাজ চাও।"
পরেরদিন ধীরে ধীরে সাদিয়ার ডেস্কের দিকে এগিয়ে যাই।,পরেরদিন ধীরে ধীরে সাদিয়ার ডেস্কের দিকে এগিয়ে যাই।
দোষঘাট হলে ক্ষমা করে দিয়েন।,দোষঘাট হলে ক্ষমা করে দিয়েন।
জনশক্তি রপ্তানিকারকেরা এখন পরিস্থিতি স্বাভাবিক দাবি করে আবারও কর্মী পাঠানোর অনুমতি চাইছেন।,জনশক্তি রপ্তানিকারকেরা এখন পরিস্থিতি স্বাভাবিক দাবি করে আবারও কর্মী পাঠানোর অনুমতি চাইছেন।
তাহার দিনটা নিজের অবসানের জন্য যেন প্রতীক্ষা করিয়া থাকিত।,$তাহার$ দিনটা নিজের অবসানের জন্য যেন প্রতীক্ষা $করিয়া থাকিত$।
